timestamp,room,peopleCount
2025-09-26T17:40:07.000Z,Room 2.12,0
2025-09-29T07:00:07.000Z,Room 2.12,0
2025-09-29T07:20:05.000Z,Room 2.12,0
2025-09-29T08:00:10.000Z,Room 2.12,0
2025-09-29T08:20:07.000Z,Room 2.12,1
2025-09-29T08:40:08.000Z,Room 2.12,1
2025-09-29T09:00:07.000Z,Room 2.12,1
2025-09-29T09:20:07.000Z,Room 2.12,13
2025-09-29T09:40:07.000Z,Room 2.12,16
2025-09-29T10:00:07.000Z,Room 2.12,20
2025-09-29T10:20:07.000Z,Room 2.12,62
2025-09-29T11:00:07.000Z,Room 2.12,63
2025-09-29T11:20:07.000Z,Room 2.12,66
2025-09-29T11:40:07.000Z,Room 2.12,62
2025-09-29T12:00:08.000Z,Room 2.12,27
2025-09-29T12:20:07.000Z,Room 2.12,20
2025-09-29T12:40:07.000Z,Room 2.12,29
2025-09-29T13:00:08.000Z,Room 2.12,47
2025-09-29T13:20:05.000Z,Room 2.12,0
2025-09-29T14:00:10.000Z,Room 2.12,91
2025-09-29T14:20:07.000Z,Room 2.12,67
2025-09-29T14:40:07.000Z,Room 2.12,83
2025-09-29T15:00:07.000Z,Room 2.12,91
2025-09-29T15:20:07.000Z,Room 2.12,58
2025-09-29T15:40:07.000Z,Room 2.12,70
2025-09-29T16:00:07.000Z,Room 2.12,1
2025-09-29T16:20:07.000Z,Room 2.12,0
2025-09-29T16:40:07.000Z,Room 2.12,0
2025-09-29T17:00:07.000Z,Room 2.12,0
2025-09-29T17:20:08.000Z,Room 2.12,0
2025-09-29T17:40:07.000Z,Room 2.12,0
2025-09-30T07:00:08.000Z,Room 2.12,0
2025-09-30T07:20:07.000Z,Room 2.12,2
2025-09-30T07:40:07.000Z,Room 2.12,12
2025-09-30T08:00:07.000Z,Room 2.12,56
2025-09-30T08:20:07.000Z,Room 2.12,96
2025-09-30T08:40:07.000Z,Room 2.12,107
2025-09-30T09:00:07.000Z,Room 2.12,115
2025-09-30T09:20:07.000Z,Room 2.12,108
2025-09-30T09:40:07.000Z,Room 2.12,66
2025-09-30T10:00:07.000Z,Room 2.12,122
2025-09-30T10:20:08.000Z,Room 2.12,114
2025-09-30T10:40:07.000Z,Room 2.12,120
2025-09-30T11:00:07.000Z,Room 2.12,47
2025-09-30T11:20:07.000Z,Room 2.12,39
2025-09-30T11:40:07.000Z,Room 2.12,33
2025-09-30T12:00:08.000Z,Room 2.12,47
