timestamp,respondentId,room,comfortValue,comfortLabel,temperatureValue,temperatureLabel,humidityValue,humidityLabel,airQualityValue,airQualityLabel,noiseValue,noiseLabel,degreesValue,degreesLabel,between,and
2025-09-30T13:22:09.000Z,158,Room 2.12,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:22:25.000Z,115,Room 2.12,2,Poor,-1,Cool,0,Optimal,1,Acceptable,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-30T13:22:39.000Z,28,Room 2.12,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,3,17≥t≥19°C,17,19
2025-09-30T13:22:52.000Z,122,Room 2.12,2,Poor,-1,Cool,0,Optimal,0,Optimal,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-30T13:23:17.000Z,1,Room 2.12,4,Good,1,Warm,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:24:26.000Z,138,Room 2.12,3,Acceptable,-1,Cool,-1,Slightly arid,0,Optimal,0,Optimal,3,17≥t≥19°C,17,19
2025-09-30T13:24:27.000Z,17,Room 2.12,5,Excellent,0,Optimal,0,Optimal,0,Optimal,0,Optimal,3,17≥t≥19°C,17,19
2025-09-30T13:24:37.000Z,88,Room 2.12,3,Acceptable,-1,Cool,0,Optimal,0,Optimal,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-30T13:24:53.000Z,123,Room 2.12,4,Good,0,Optimal,-1,Slightly arid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:25:46.000Z,86,Room 2.12,3,Acceptable,-1,Cool,-1,Slightly arid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:27:26.000Z,43,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:27:31.000Z,116,Room 2.12,4,Good,0,Optimal,-1,Slightly arid,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T13:31:22.000Z,144,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T13:36:00.000Z,87,Room 2.12,5,Excellent,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T13:39:25.000Z,12,Room 2.12,2,Poor,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:41:42.000Z,11,Room 2.12,4,Good,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T14:04:48.000Z,13,Room 2.12,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T14:05:12.000Z,141,Room 2.12,3,Acceptable,1,Warm,1,Slightly humid,2,Poor,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T14:05:17.000Z,174,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T14:13:24.000Z,18,Room 2.12,3,Acceptable,-1,Cool,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T14:23:38.000Z,113,Room 2.12,5,Excellent,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T14:34:04.000Z,27,Room 2.12,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T14:41:24.000Z,5,Room 2.12,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T14:41:35.000Z,69,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T14:41:40.000Z,7,Room 2.12,2,Poor,2,Hot,1,Slightly humid,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T14:41:50.000Z,98,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T14:43:37.000Z,131,Room 2.12,3,Acceptable,-1,Cool,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T14:44:00.000Z,35,Room 2.12,5,Excellent,-1,Cool,1,Slightly humid,1,Acceptable,2,Loud,4,20≥t≥22°C,20,22
2025-09-30T14:45:30.000Z,10,Room 2.12,3,Acceptable,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T14:46:49.000Z,184,Room 2.12,3,Acceptable,1,Warm,0,Optimal,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-10-01T14:04:42.000Z,180,Lab 4.2,4,Good,0,Optimal,0,Optimal,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-10-01T14:07:44.000Z,70,Lab 4.2,3,Acceptable,1,Warm,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-10-01T14:07:47.000Z,65,Lab 4.2,4,Good,0,Optimal,0,Optimal,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-10-01T14:11:47.000Z,71,Lab 4.2,2,Poor,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
